TCount,AllTweets
"0","#NewProfilePic"
"1","Identification, friend or foe (IFF) is a radar-based identification system designed for command and control. It uses a transponder that listens for an interrogation signal and then sends a response that identifies the broadcaster. 
https://en.wikipedia.org/wiki/Identification_friend_or_foe …"
"2","وقت ورزشه.."
"3","ما مردم آمریکا می‌دانیم که مردم ایران و فرهنگ‌شان از گنجینه‌های دنیا هستند. ما 
رئیس‌جمهورمان نیستیم."
"4","Oil hits $70 https://bloom.bg/2Qq6vgY"
"5","People don't realize how much of an impact we have on the climate of our planet. People are so careless and it leads to catastrophies like these. Australia is suffering so much and no one is doing anything. OPEN YOUR EYES PEOPLE!!! #AustraliaOnFire #استراليا_تحترق"
"6","I am afraid from the consequences after this 
#استراليا_تحترق"
"7","#استراليا Pray For Australia 
More than 480million animals are dead upto now"
"8","این خیلی خوب بود ؛))

#NoToWar"
"9","There are 52?!"
"10","#NewProfilePic"
"11","جواب نود درصد سوالای توئیتر :
گوووه خوریش به تو نیومده است"
"12","He has run more spontaneous than Harry Kane throughout the game 
#ChampionsLeague2019"
"13","کاش دخترا از این توهم که #ازدواج یعنی من چیزی که در خانه پدر نداشتم باید در خانه شوهر داشته باشم دربیان."
"14","یعنی شب قبل امتحان که میشه گه خوردمو همه اعضای بدنم تکرار میکنن میگن یه هفته اگه وقت داشتیم این میشد اون میشد."
"15","پس داستان خنده هاش معلوم شده راحت شده داره میخنده میخواسته خودشو بکشه گفته اول اونو میکشم بعدم منو اعدام میکنن فوقش دیگه برد برده"
"16","یعنی واقعا هیچی گیرتون نمیاد بنویسین .... 
اگر سخن گفتن نقره باشد سکوت طلاست
گاندی https://twitter.com/aaaaa9999j/status/1132894283915309057 …"
"17","عاشق توئیترم همه میان اینجا چس ناله تز کات قبلی تا دوستیه بعدی"
"18","The Oil Market Gets Bullish as Trump Doubles Down on Iran Sanctions"
